threshold,cell_type,n_total,n_border,prop_of_border,prop_of_type_border,global_prop,log2_enrichment
0.49,Epithelial pH2AX+,4907,14,0.02443280977312391,0.0028530670470756064,0.007599963448311111,1.6847552671862747
0.49,Foveloar,65508,22,0.038394415357766144,0.00033583684435488793,0.10145881507478383,-1.4019258084954953
0.49,Foveloar Ki67+ p53+,714,0,0.0,0.0,0.0011058434689411316,-20.076717061889756
0.49,Foveloar p53+,5754,1,0.0017452006980802793,0.0001737921445950643,0.008911797367349119,-2.3523228089825876
0.49,Goblet,8787,2,0.0034904013961605585,0.00022760896779333106,0.013609308909783928,-1.9631286392977592
0.49,Goblet Ki67+ p53+,241,0,0.0,0.0,0.00037326089077704863,-18.509828694587206
0.49,Goblet p53+,3441,0,0.0,0.0,0.005329422096115454,-22.345547940691507
0.49,Lymphatic,9878,15,0.02617801047120419,0.0015185260174124316,0.015299050120728989,0.7749133350200265
0.49,Lymphatic CD73+,431,1,0.0017452006980802793,0.002320185614849188,0.0006675329623440164,1.3864806383210302
0.49,M1 Macrophage,25157,43,0.07504363001745201,0.001709265810708749,0.038963171075843205,0.9456184998293798
0.49,M2 Macrophage,18904,23,0.04013961605584642,0.0012166737198476513,0.02927852232053663,0.4551840607288796
0.49,Neck,25607,5,0.008726003490401396,0.00019525910883742728,0.03966013124534392,-2.1842963669536424
0.49,Neck Ki67+ p53+,26,0,0.0,0.0,4.026880979337454e-05,-15.29741103755938
0.49,Neck p53+,1469,1,0.0017452006980802793,0.0006807351940095302,0.0022751877533256615,-0.3825924560128061
0.49,Nerve,6014,9,0.015706806282722512,0.0014965081476554707,0.009314485465282865,0.7538418178112963
0.49,Neuroendocrine,5524,1,0.0017452006980802793,0.00018102824040550325,0.008555573280715422,-2.293470914241716
0.49,Neutrophil,21171,17,0.029668411867364748,0.0008029852156251476,0.03278965277444355,-0.1443129175164941
0.49,Paneth,419,0,0.0,0.0,0.0006489473578239974,-19.30774415007943
0.49,Parietal,8314,5,0.008726003490401396,0.0006013952369497233,0.012876726331619844,-0.5613728524644772
0.49,Plasma,15464,28,0.04886561954624782,0.0018106570098292809,0.023950649024797842,1.028755001112584
0.49,Smooth Muscle,56162,38,0.06631762652705062,0.000676614080695132,0.08698372675444235,-0.391353141714864
0.49,Squamou p63+ EGFRhi,13701,5,0.008726003490401396,0.00036493686592219544,0.021220113960731715,-1.2820393508878052
0.49,Squamous Annexin A1+,26751,4,0.006980802792321117,0.00014952712048147733,0.0414319588762524,-2.569278998756196
0.49,Squamous p63+,24430,0,0.0,0.0,0.03783719320200539,-25.173301774534345
0.49,Stroma,69178,78,0.13612565445026178,0.0011275260921102084,0.1071429124571563,0.3454025637595559
0.49,Stroma CD73+,840,1,0.0017452006980802793,0.0011904761904761906,0.0013009923164013313,0.4237802320580169
