threshold,cell_type,n_total,n_border,prop_of_border,prop_of_type_border,global_prop,log2_enrichment
0.4,MHCI+ Tumor,221889,7239,0.04384402936259903,0.03262442031826724,0.04420840224428037,-0.011940202639213684
0.4,MelanA+ Tumor,202618,6791,0.04113065387503937,0.033516271999526205,0.04036891439382574,0.02696921642499877
0.4,NK,29423,737,0.0044637449427041695,0.025048431499167318,0.005862137461674357,-0.3931721269029666
0.4,Nerve,7899,208,0.001259781476366984,0.026332447145208254,0.0015737696295335534,-0.32105064089718677
0.4,Neutrophil,82914,1214,0.007352763039949609,0.014641676918252647,0.016519500577686422,-1.1678115660118484
0.4,PD1+ CD8+ T,16884,511,0.0030949439154977347,0.030265339966832505,0.0033639101690143705,-0.12022587650132352
0.4,PD1+ TCF1/7+ CD8+ T,2024,4,2.4226566853211232e-05,0.001976284584980237,0.00040325480822584023,-4.056973884174643
0.4,PDL1+ CD56+ Tumor,13640,524,0.0031736802577706715,0.03841642228739003,0.0027175867510871843,0.2238306205808449
0.4,PDPN+ Stromal,82846,1190,0.007207403638830341,0.014364000675952972,0.01650595249124405,-1.1954347317566414
0.4,PTEN+ Tumor,196025,8986,0.05442498243573903,0.04584109169748757,0.03905534771861182,0.4787489210719366
0.4,SOX10/S100+ Tumor,220288,11071,0.06705308040797539,0.05025693637420105,0.04388942450318868,0.6114302463899339
0.4,Smooth Muscle,103748,1982,0.012004263875766166,0.01910398272737788,0.020670395179750233,-0.7840189828190347
0.4,Stromal,848410,20887,0.12650507546575573,0.02461899317546941,0.16903429439075351,-0.41812070544808655
0.4,TCF1/7+ CD8+ T,28813,625,0.003785401070814255,0.02169159754277583,0.005740603156823683,-0.6007560321933941
0.4,Tumor,569890,38435,0.23278702425079342,0.06744283984628613,0.1135429262153281,1.0357728087382876
0.49,B,12730,10,0.0009473285335354301,0.0007855459544383347,0.002536281476637819,-1.420777166417689
0.49,Bcatenin+ Tumor,40647,80,0.007578628268283441,0.00196816493222132,0.008098368670926743,-0.09569456545897562
0.49,CD163+ CD206+ Macrophage,215013,376,0.03561955286093217,0.0017487314720505273,0.042838451621078355,-0.26623692243642955
0.49,CD4+ T,195030,317,0.030030314513073135,0.0016253909654924883,0.038857107336109496,-0.37175890997246924
0.49,CD4+ Treg,24042,47,0.0044524441076165214,0.0019549122369187256,0.004790045503639155,-0.10544183723883986
0.49,CD56+ Tumor,87928,275,0.026051534672224326,0.0031275589118369574,0.01751847271624589,0.5724913315374753
0.49,CD68+ Macrophage,96998,207,0.019609700644183402,0.00213406461988907,0.019325548363779668,0.021058159562937797
0.49,CD73+ Stromal,69695,75,0.007104964001515726,0.0010761173685343282,0.013885792420602734,-0.9667101656912842
0.49,CD8+ T,70588,122,0.011557408109132247,0.0017283390944636482,0.014063710673441508,-0.2831593817090808
0.49,DC,256280,548,0.05191360363774157,0.0021382862494147025,0.05106034696250906,0.02390929584290532
0.49,EZH2+ Ki67+ Tumor,58421,129,0.012220538082607047,0.002208110097396484,0.011639599383083898,0.07026640019934334
0.49,EZH2+ Tumor,111642,314,0.029746115953012506,0.002812561580767095,0.02224316862645714,0.4193389667220211
0.49,Endothelial,197444,403,0.038177339901477834,0.002041085067158283,0.03933806440481363,-0.04320938871879032
0.49,Epithelial,358688,167,0.01582038651004168,0.0004655856900704791,0.07146376514471847,-2.175427007926299
0.49,FAP+ Fibroblast,285193,399,0.03779840848806366,0.0013990525714165495,0.05682087377586564,-0.5880955136193174
0.49,FAP+ Tumor,81327,180,0.017051913603637742,0.0022132871002250175,0.01620331214850934,0.07364489917470116
0.49,FDCs,239,0,0.0,0.0,4.761753911362441e-05,-15.539235740479857
0.49,GZMB+ CD8+ T,20733,46,0.004357711254262978,0.0022186851878647565,0.004130771708965586,0.07715925672330519
0.49,GZMB+ PD1+ CD8+ T,19108,37,0.0035051155740810913,0.0019363617333054218,0.0038070122903060056,-0.11919717980421622
0.49,GZMB+ TCF1/7+ CD8+ T,3272,1,9.473285335354301e-05,0.0003056234718826406,0.0006519020417563978,-2.7827054335881316
0.49,GZMB+ TCF1/7+ PD1+ CD8+ T,461,0,0.0,0.0,9.18480566166563e-05,-16.48697728301497
0.49,LDHA+ SOX10/S100+ Tumor,588,0,0.0,0.0,0.0001171511004134358,-16.838023294868186
0.49,LDHA+ Tumor,130107,468,0.04433497536945813,0.0035970393599114576,0.025922071805256616,0.7742642215947239
0.49,MHCI+ PDL1+ Tumor,55674,115,0.010894278135657446,0.00206559614901031,0.011092296538125213,-0.025987482824735626
0.49,MHCI+ Tumor,221889,649,0.061481621826449416,0.002924885866356602,0.04420840224428037,0.47583461913431496
0.49,MelanA+ Tumor,202618,551,0.0521978021978022,0.0027194030145396755,0.04036891439382574,0.3707442647262237
0.49,NK,29423,44,0.004168245547555892,0.0014954287462189443,0.005862137461674357,-0.4919864302969335
0.49,Nerve,7899,9,0.0008525956801818871,0.001139384732244588,0.0015737696295335534,-0.8842899465192029
0.49,Neutrophil,82914,92,0.008715422508525956,0.0011095834237885038,0.016519500577686422,-0.922527482737224
0.49,PD1+ CD8+ T,16884,32,0.0030314513073133762,0.0018952854773750297,0.0033639101690143705,-0.15013048352470504
0.49,PD1+ TCF1/7+ CD8+ T,2024,0,0.0,0.0,0.00040325480822584023,-18.621335787577852
0.49,PDL1+ CD56+ Tumor,13640,59,0.005589238347859037,0.004325513196480939,0.0027175867510871843,1.0403253360953362
0.49,PDPN+ Stromal,82846,69,0.0065365668813944676,0.000832870627429206,0.01650595249124405,-1.336381248479835
0.49,PTEN+ Tumor,196025,491,0.046513830996589615,0.0025047825532457596,0.03905534771861182,0.25213965752270445
0.49,SOX10/S100+ Tumor,220288,1265,0.1198370594922319,0.005742482568274259,0.04388942450318868,1.4491288501075406
0.49,Smooth Muscle,103748,165,0.015630920803334596,0.0015903921039441724,0.020670395179750233,-0.40316317949308556
0.49,Stromal,848410,1481,0.1402993558165972,0.0017456182741834726,0.16903429439075351,-0.2688075896618088
0.49,TCF1/7+ CD8+ T,28813,35,0.0033156498673740055,0.0012147294623954465,0.005740603156823683,-0.7919104766508615
0.49,Tumor,569890,1298,0.12296324365289883,0.002277632525575111,0.1135429262153281,0.11498929841041308
