threshold,cell_type,n_total,n_border,prop_of_border,prop_of_type_border,global_prop,log2_enrichment
0.4,CD4+ T cell,117016,4379,0.05634908379658225,0.03742223285704519,0.04658276545958164,0.2745958578707532
0.4,CD57+ Enterocyte,1895,12,0.00015441630636195183,0.0063324538258575196,0.0007543783802719902,-2.2884557907300476
0.4,CD66+ Enterocyte,49439,713,0.00917490220300597,0.014421812738930803,0.019681114903570936,-1.1010471802155986
0.4,CD7+ Immune,7174,211,0.0027151533868643193,0.029411764705882353,0.0028558894459478935,-0.0729064038937732
0.4,CD8+ T,200378,7532,0.0969219682931851,0.03758895687151284,0.07976824859215877,0.28100909800465607
0.4,Cycling TA,82846,2841,0.036558060531192094,0.03429254279023731,0.03298006928338433,0.14859510111700167
0.4,DC,32001,1205,0.015505970763845996,0.03765507327896003,0.012739241449648527,0.2835444539048671
0.4,Endothelial,180746,6861,0.08828752316244595,0.03795934626492426,0.07195296819031195,0.29515536419653515
0.4,Enterocyte,484823,14479,0.18631614165122504,0.029864507253162493,0.19300263295968714,-0.050867859979667425
0.4,Goblet,163157,6417,0.08257411982705373,0.03933021568182793,0.0649509833192808,0.3463383145127826
0.4,ICC,33829,1313,0.01689571752110356,0.03881285287770848,0.013466947876633856,0.3272346797078048
0.4,Lymphatic,64496,2529,0.03254323656578135,0.03921173406102704,0.025675138793679303,0.34198565312553225
0.4,M1 Macrophage,21825,723,0.009303582458307598,0.03312714776632302,0.008688289260916193,0.09871420373727187
0.4,M2 Macrophage,112475,4558,0.05865246036648137,0.04052456101355857,0.04477504396891404,0.38949677145999556
0.4,MUC1+ Enterocyte,17869,419,0.005391702697138151,0.0234484302423191,0.007113449750438097,-0.39980836923917573
0.4,NK,5027,156,0.002007411982705374,0.031032424905510246,0.0020011926742096544,0.004476654105438696
0.4,Nerve,76899,2337,0.030072575663990117,0.03039051223032809,0.03061263486255186,-0.025678786149590634
0.4,Neuroendocrine,14970,541,0.006961601811817994,0.03613894455577822,0.00595939015972121,0.2242545592015032
0.4,Neutrophil,14657,413,0.005314494543957175,0.028177662550317256,0.005834788348098449,-0.13474781510222086
0.4,Paneth,21381,131,0.0016857113444513074,0.006126935129320425,0.008511537809285184,-2.336061610702091
0.4,Plasma,128316,2787,0.035863187152563314,0.021719816702515663,0.051081169521361845,-0.510287838590338
0.4,Smooth muscle,375113,7854,0.10106547251389747,0.020937690775846212,0.14932830467491667,-0.5631974382123965
0.4,Stroma,212923,6355,0.08177630224418365,0.02984647032025662,0.08476227327844484,-0.05173945126688082
0.4,TA,57248,2378,0.030600164710726786,0.04153856903297932,0.022789790772459576,0.4251517227080301
0.49,B,35499,43,0.012797619047619047,0.0012113017268092058,0.014131756264525267,-0.14306533442301916
0.49,CD4+ T cell,117016,204,0.060714285714285714,0.001743351336569358,0.04658276545958164,0.38223971690642056
0.49,CD57+ Enterocyte,1895,0,0.0,0.0,0.0007543783802719902,-19.524930717276575
0.49,CD66+ Enterocyte,49439,30,0.008928571428571428,0.000606808390137341,0.019681114903570936,-1.140310593355167
0.49,CD7+ Immune,7174,7,0.0020833333333333333,0.0009757457485363814,0.0028558894459478935,-0.4550462560415732
0.49,CD8+ T,200378,266,0.07916666666666666,0.0013274910419307508,0.07976824859215877,-0.010921494412385935
0.49,Cycling TA,82846,181,0.05386904761904762,0.0021847765734012503,0.03298006928338433,0.7078621126866693
0.49,DC,32001,54,0.01607142857142857,0.0016874472672728977,0.012739241449648527,0.3352187750350438
0.49,Endothelial,180746,390,0.11607142857142858,0.002157724099011873,0.07195296819031195,0.6898867762594181
0.49,Enterocyte,484823,371,0.11041666666666666,0.0007652277222821524,0.19300263295968714,-0.805662569573212
0.49,Goblet,163157,252,0.075,0.0015445245990058656,0.0649509833192808,0.2075392252485161
0.49,ICC,33829,50,0.01488095238095238,0.0014780218156019982,0.013466947876633856,0.14404393350814015
0.49,Lymphatic,64496,93,0.027678571428571427,0.00144194988836517,0.025675138793679303,0.10839740371946
0.49,M1 Macrophage,21825,34,0.01011904761904762,0.0015578465063001146,0.008688289260916193,0.2199294488975453
0.49,M2 Macrophage,112475,364,0.10833333333333334,0.0032362747277172705,0.04477504396891404,1.2747104444708304
0.49,MUC1+ Enterocyte,17869,23,0.006845238095238095,0.0012871453354972298,0.007113449750438097,-0.055448650341868216
0.49,NK,5027,2,0.0005952380952380953,0.00039785160135269546,0.0020011926742096544,-1.7493196063574818
0.49,Nerve,76899,88,0.02619047619047619,0.001144358184111627,0.03061263486255186,-0.22508492582657674
0.49,Neuroendocrine,14970,41,0.012202380952380952,0.002738810955243821,0.00595939015972121,1.0339259443449234
0.49,Neutrophil,14657,14,0.004166666666666667,0.0009551750017056696,0.005834788348098449,-0.48578653632387464
0.49,Paneth,21381,8,0.002380952380952381,0.00037416397736307936,0.008511537809285184,-1.8378806087874326
0.49,Plasma,128316,145,0.043154761904761904,0.0011300227563203341,0.051081169521361845,-0.24327178911862868
0.49,Smooth muscle,375113,241,0.07172619047619047,0.0006424730681154745,0.14932830467491667,-1.0579157254521658
0.49,Stroma,212923,380,0.1130952380952381,0.0017846827256801756,0.08476227327844484,0.41604399564383704
0.49,TA,57248,79,0.02351190476190476,0.0013799608719955283,0.022789790772459576,0.045003738710627204
